"Prompt,Selenium Script"
"Open Chrome browser and navigate to 'https://www.example.com',ChromeDriver\ndriver.get('https://www.example.com')"
"Click on a link with text 'Learn More' using Chrome,driver.find_element_by_link_text('Learn More').click()"
"Fill in the 'email' field with 'test@example.com' in Chrome,driver.find_element_by_name('email').send_keys('test@example.com')"
"Open Firefox browser and navigate to 'https://www.example.com',GeckoDriver\ndriver.get('https://www.example.com')"
"Select the option with value '3' from the dropdown in Firefox,dropdown = Select(driver.find_element_by_tag_name('select'))\ndropdown.select_by_value('3')"
"Scroll down by 300 pixels in Firefox,driver.execute_script('window.scrollBy(0, 300)')"
"Open Edge browser and navigate to 'https://www.example.com',EdgeDriver\ndriver.get('https://www.example.com')"
"Fill in the 'password' field with 'securepass' in Edge,driver.find_element_by_name('password').send_keys('securepass')"
"Click the first radio button in Edge,driver.find_elements_by_name('radio')[0].click()"
"Open Chrome browser and navigate to 'https://www.example.com',ChromeDriver\ndriver.get('https://www.example.com')"
"Take a screenshot of the current page using Chrome,driver.save_screenshot('screenshot.png')"
"Open Firefox browser and navigate to 'https://www.example.com',GeckoDriver\ndriver.get('https://www.example.com')"
"Fill in the 'last_name' field with 'Johnson' in Firefox,driver.find_element_by_name('last_name').send_keys('Johnson')"
"Open Edge browser and navigate to 'https://www.example.com',EdgeDriver\ndriver.get('https://www.example.com')"
"Maximize the Edge browser window,driver.maximize_window()"
"Open Chrome browser and navigate to 'https://www.example.com',ChromeDriver\ndriver.get('https://www.example.com')"
"Click on a button with class 'cta-button' in Chrome,driver.find_element_by_class_name('cta-button').click()"
"Open Firefox browser and navigate to 'https://www.example.com',GeckoDriver\ndriver.get('https://www.example.com')"
"Scroll to the element with id 'footer' in Firefox,footer_element = driver.find_element_by_id('footer')\ndriver.execute_script(""arguments[0].scrollIntoView();"", footer_element)"
"Open Edge browser and navigate to 'https://www.example.com',EdgeDriver\ndriver.get('https://www.example.com')"
"Close the Edge browser,driver.quit()"

"Open Firefox browser and navigate to 'https://www.example.com',GeckoDriver\ndriver.get('https://www.example.com')"
"Click on a link with text 'Contact Us' using Firefox,driver.find_element_by_link_text('Contact Us').click()"
"Fill in the 'phone' field with '123-456-7890' in Firefox,driver.find_element_by_name('phone').send_keys('123-456-7890')"
"Open Edge browser and navigate to 'https://www.example.com',EdgeDriver\ndriver.get('https://www.example.com')"
"Scroll down by 150 pixels in Edge,driver.execute_script('window.scrollBy(0, 150)')"
"Open Chrome browser and navigate to 'https://www.example.com',ChromeDriver\ndriver.get('https://www.example.com')"
"Select the checkbox with id 'newsletter' in Chrome,driver.find_element_by_id('newsletter').click()"
"Open Firefox browser and navigate to 'https://www.example.com',GeckoDriver\ndriver.get('https://www.example.com')"
"Clear the input field with id 'search' in Firefox,driver.find_element_by_id('search').clear()"
